"","V1","V2"
"",NA,NA
"V6",1554.9,1.043355
"V4",2186.44074986316,26.8420654761905
"V9",2368.47931034483,11.1033611111111
"V2",2128.9,7.972475
"V3",2141,4.87226666666667
"V2",2566.5,3.70375
"V5",2576.5,4.48383333333333
"V10",2484.9,4.14001489361702
"V9",1970.9,5.31068888888889
"V10",1989.65357142857,7.53863103448276
"V7",2003.85357142857,6.96140909090909
"V10",2038.2,0.927465
"V7",2444.3,26.2986428571429
"V8",2509.2,21.1149848275862
"V9",2042.2,17.0296530789759
"V10",1793,11.7512709778474
"V9",1815.2,2.90728410596026
"V10",1770.3,9.62225
"V1",2576.8,1.06418181818182
"V3",2564.3,13.5056973434535
"V4",2627.5,12.6302359183673
"V5",2615.9,0.514846
"V6",2522.67586206897,14.9792110311751
"V7",2476.6,12.0146155988858
"V2",1949.71527093596,4.80806070038911
"V3",1901,9.6164184
"V6",1965.8,0.0884213793103448
"V5",2089.5,15.6055226190476
"V2",2374.4,12.5864316546763
"V3",2376.5,0.161820588235294
"V7",2205.6,0.161089156626506
"V8",2271.9,2.14166538461538
"V9",2374.2,10.2241333333333
"V10",2157.7,5.35545412979351
"V4",2082.1,10.1898267857143
"V5",1934.9,6.085914375
"V6",1941.4,2.46808076923077
"V7",1910.1,0.856360666666667
"V4",2501.7,39.9746875
"V6",2429.7,17.493746440678
"V7",2289.2,15.1717298263534
"V8",2448.1,28.364463878327
"V2",2461.8,1.94463
"V7",2294.9,0.007626
"V1",2142.8,7.62376285714286
"V2",2030.3,46.1159090909091
"V3",2038.5,17.2514048192771
"V4",2049.4,12.1656379310345
"V5",2006.9,3.00520588235294
"V6",2022,6.56901265822785
"V9",2076.3,9.17399910438542
"V10",1932.9,21.2662368768571
"V1",2717.1,3.72586790123457
"V2",2735.4,15.47868
"V4",2318.3,13.248286
"V5",2263.3,6.99875147928994
"V6",2267.2,5.79845994962217
"V7",2023,18.4777963768116
"V8",2230.6,10.2604510989011
"V3",2104.8,29.706173220339
"V9",1963.9,21.461417
"V10",2099,21.7045186181697
"V4",2297.7,13.8849783333333
"V8",2363.8,16.5761031746032
"V9",2136.1,35.3885565631616
"V10",2122.2,17.8225043266769
"V9",2101.5,9.17705673469388
"V10",2148.6,8.63583399750934
"V5",2359.6,14.385689122807
"V6",2178.8,14.8324332586284
"V7",2145.5,38.2796067407182
"V8",2478.3,15.2020875865021
"V1",2543.3,14.801170212766
"V2",2521,14.2309361702128
"V3",2536.2,20.6782029598309
"V6",2449.9,26.6280958083832
"V7",2348.2,11.4782285447761
"V8",2490.6,9.57037537537538
"V9",2544.5,13.6740272401434
"V10",2444,18.9839824870466
"V3",2231.5,17.1564348668281
"V4",2287,47.5802966507177
"V5",2075.1,15.3906546428571
"V8",2158.1,55.8741925171018
"V4",2375.5,22.9841107142857
"V5",2370.7,7.02080048611111
"V6",2289.6,6.35666726190476
"V8",2541.8,7.85575681818182
"V1",2481.3,9.6460602739726
"V2",2457.8,9.56272727272727
"V6",2415.7,36.1278578979467
"V7",2268.1,28.3548879248012
"V8",2395.3,27.6770534429599
"V9",2465.2,23.5989543859649
"V10",2298,13.1625170178282
"V5",2165.3,10.4669607902736
"V7",1901.7,22.0847112068965
"V3",2540.6,23.8933475177305
"V5",2659,16.9023040178571
"V7",2472.7,26.9780344387755
"V8",2736.2,23.8589437621604
"V3",2251.3,8.3398
"V5",2192.9,5.04647777777778
"V8",2174.3,6.20568292682927
"V9",2244.3,0.242901156069364
"V10",2116.2,2.24512179487179
"V3",2170.9,7.239438
"V7",1943.2,3.65942567567568
"V9",2232.5,1.5033625
"V10",2057.4,16.99706
